Project	Run_accession	Treatment	Author	Fungicide_type	Duration	Dose
P1	SRR23032925	Control	Vasilchenko et al. 2023	Triazole + QoI-Strobilurin	60	0.36
P1	SRR23032927	Treated	Vasilchenko et al. 2024	Triazole + QoI-Strobilurin	60	0.36
P1	SRR23032924	Control	Vasilchenko et al. 2025	Triazole + QoI-Strobilurin	60	0.36
P1	SRR23032926	Control	Vasilchenko et al. 2026	Triazole + QoI-Strobilurin	60	0.36
P1	SRR23032928	Treated	Vasilchenko et al. 2027	Triazole + QoI-Strobilurin	60	0.36
P1	SRR23032929	Treated	Vasilchenko et al. 2028	Triazole + QoI-Strobilurin	60	0.36
P2	SRR18767516	Control	"Wang et al., 2022"	Thiadiazole	19	7.7
P2	SRR18767395	Control	"Wang et al., 2023"	Thiadiazole	19	7.7
P2	SRR18767514	Control	"Wang et al., 2024"	Thiadiazole	19	7.7
P2	SRR18767503	Control	"Wang et al., 2025"	Thiadiazole	19	7.7
P2	SRR18767515	Control	"Wang et al., 2026"	Thiadiazole	19	7.7
P2	SRR18767380	Control	"Wang et al., 2027"	Thiadiazole	19	7.7
P2	SRR18767461	Control	"Wang et al., 2028"	Thiadiazole	19	7.7
P2	SRR18767450	Control	"Wang et al., 2029"	Thiadiazole	19	7.7
P2	SRR18767343	Control	"Wang et al., 2030"	Thiadiazole	19	7.7
P2	SRR18767332	Control	"Wang et al., 2031"	Thiadiazole	19	7.7
P2	SRR18767321	Control	"Wang et al., 2032"	Thiadiazole	19	7.7
P2	SRR18767406	Control	"Wang et al., 2033"	Thiadiazole	19	7.7
P2	SRR18767454	Control	"Wang et al., 2034"	Thiadiazole	19	7.7
P2	SRR18767453	Control	"Wang et al., 2035"	Thiadiazole	19	7.7
P2	SRR18767452	Control	"Wang et al., 2036"	Thiadiazole	19	7.7
P2	SRR18767451	Control	"Wang et al., 2037"	Thiadiazole	19	7.7
P2	SRR18767449	Control	"Wang et al., 2038"	Thiadiazole	19	7.7
P2	SRR18767448	Control	"Wang et al., 2039"	Thiadiazole	19	7.7
P2	SRR18767447	Control	"Wang et al., 2040"	Thiadiazole	19	7.7
P2	SRR18767446	Control	"Wang et al., 2041"	Thiadiazole	19	7.7
P2	SRR18767323	Control	"Wang et al., 2042"	Thiadiazole	19	7.7
P2	SRR18767322	Control	"Wang et al., 2043"	Thiadiazole	19	7.7
P2	SRR18767320	Control	"Wang et al., 2044"	Thiadiazole	19	7.7
P2	SRR18767319	Control	"Wang et al., 2045"	Thiadiazole	19	7.7
P2	SRR18767318	Control	"Wang et al., 2046"	Thiadiazole	19	7.7
P2	SRR18767317	Control	"Wang et al., 2047"	Thiadiazole	19	7.7
P2	SRR18767316	Control	"Wang et al., 2048"	Thiadiazole	19	7.7
P2	SRR18767315	Control	"Wang et al., 2049"	Thiadiazole	19	7.7
P2	SRR18767513	Control	"Wang et al., 2050"	Thiadiazole	19	7.7
P2	SRR18767512	Control	"Wang et al., 2051"	Thiadiazole	19	7.7
P2	SRR18767511	Control	"Wang et al., 2052"	Thiadiazole	19	7.7
P2	SRR18767510	Control	"Wang et al., 2053"	Thiadiazole	19	7.7
P2	SRR18767509	Control	"Wang et al., 2054"	Thiadiazole	19	7.7
P2	SRR18767508	Control	"Wang et al., 2055"	Thiadiazole	19	7.7
P2	SRR18767507	Control	"Wang et al., 2056"	Thiadiazole	19	7.7
P2	SRR18767506	Control	"Wang et al., 2057"	Thiadiazole	19	7.7
P2	SRR18767442	Control	"Wang et al., 2058"	Thiadiazole	19	7.7
P2	SRR18767441	Control	"Wang et al., 2059"	Thiadiazole	19	7.7
P2	SRR18767440	Control	"Wang et al., 2060"	Thiadiazole	19	7.7
P2	SRR18767439	Control	"Wang et al., 2061"	Thiadiazole	19	7.7
P2	SRR18767438	Control	"Wang et al., 2062"	Thiadiazole	19	7.7
P2	SRR18767437	Control	"Wang et al., 2063"	Thiadiazole	19	7.7
P2	SRR18767436	Control	"Wang et al., 2064"	Thiadiazole	19	7.7
P2	SRR18767435	Control	"Wang et al., 2065"	Thiadiazole	19	7.7
P2	SRR18767463	Treated	"Wang et al., 2066"	Thiadiazole	19	7.7
P2	SRR18767460	Treated	"Wang et al., 2067"	Thiadiazole	19	7.7
P2	SRR18767458	Treated	"Wang et al., 2068"	Thiadiazole	19	7.7
P2	SRR18767456	Treated	"Wang et al., 2069"	Thiadiazole	19	7.7
P2	SRR18767331	Treated	"Wang et al., 2070"	Thiadiazole	19	7.7
P2	SRR18767329	Treated	"Wang et al., 2071"	Thiadiazole	19	7.7
P2	SRR18767327	Treated	"Wang et al., 2072"	Thiadiazole	19	7.7
P2	SRR18767325	Treated	"Wang et al., 2073"	Thiadiazole	19	7.7
P2	SRR18767392	Treated	"Wang et al., 2074"	Thiadiazole	19	7.7
P2	SRR18767390	Treated	"Wang et al., 2075"	Thiadiazole	19	7.7
P2	SRR18767388	Treated	"Wang et al., 2076"	Thiadiazole	19	7.7
P2	SRR18767386	Treated	"Wang et al., 2077"	Thiadiazole	19	7.7
P2	SRR18767487	Treated	"Wang et al., 2078"	Thiadiazole	19	7.7
P2	SRR18767485	Treated	"Wang et al., 2079"	Thiadiazole	19	7.7
P2	SRR18767483	Treated	"Wang et al., 2080"	Thiadiazole	19	7.7
P2	SRR18767444	Treated	"Wang et al., 2081"	Thiadiazole	19	7.7
