SampleID	Shannon	Project	Run_accession	Treatment	Author	Fungicide_type	Duration	Dose	Type
SRR23032128	6.64727081036177	project1	SRR23032128	Treated	Vasilchenko et al. 2027	Triazole + QoI-Strobilurin	60	0.36	16S
SRR23032129	6.67508617245403	project1	SRR23032129	Treated	Vasilchenko et al. 2024	Triazole + QoI-Strobilurin	60	0.36	16S
SRR23032130	6.48309726703778	project1	SRR23032130	Treated	Vasilchenko et al. 2028	Triazole + QoI-Strobilurin	60	0.36	16S
SRR23032131	6.69212934168925	project1	SRR23032131	Control	Vasilchenko et al. 2025	Triazole + QoI-Strobilurin	60	0.36	16S
SRR23032132	6.67963301868131	project1	SRR23032132	Control	Vasilchenko et al. 2026	Triazole + QoI-Strobilurin	60	0.36	16S
SRR23032133	6.78598429258668	project1	SRR23032133	Control	Vasilchenko et al. 2023	Triazole + QoI-Strobilurin	60	0.36	16S
SRR23032924	4.96741081379915	project1	SRR23032924	Control	Vasilchenko et al. 2025	Triazole + QoI-Strobilurin	60	0.36	ITS
SRR23032925	5.44061087566329	project1	SRR23032925	Control	Vasilchenko et al. 2023	Triazole + QoI-Strobilurin	60	0.36	ITS
SRR23032926	5.32372622986441	project1	SRR23032926	Control	Vasilchenko et al. 2026	Triazole + QoI-Strobilurin	60	0.36	ITS
SRR23032927	4.96682810884115	project1	SRR23032927	Treated	Vasilchenko et al. 2024	Triazole + QoI-Strobilurin	60	0.36	ITS
SRR23032928	4.95007796086179	project1	SRR23032928	Treated	Vasilchenko et al. 2027	Triazole + QoI-Strobilurin	60	0.36	ITS
SRR23032929	4.77661165364266	project1	SRR23032929	Treated	Vasilchenko et al. 2028	Triazole + QoI-Strobilurin	60	0.36	ITS
SRR18767303	6.09727602942423	project2	SRR18767303	Control	Wang et al., 2030	Thiadiazole	19	7.7	16S
SRR18767304	6.75185574719079	project2	SRR18767304	Control	Wang et al., 2029	Thiadiazole	19	7.7	16S
