""	Project	Run_accession	Treatment	Author	Fungicide_type	Duration	Dose
SRR23032128	P1	SRR23032128	Treated	Vasilchenko et al. 2027	Triazole + QoI-Strobilurin	60	0.36
SRR23032129	P1	SRR23032129	Treated	Vasilchenko et al. 2024	Triazole + QoI-Strobilurin	60	0.36
SRR23032130	P1	SRR23032130	Treated	Vasilchenko et al. 2028	Triazole + QoI-Strobilurin	60	0.36
SRR23032131	P1	SRR23032131	Control	Vasilchenko et al. 2025	Triazole + QoI-Strobilurin	60	0.36
SRR23032132	P1	SRR23032132	Control	Vasilchenko et al. 2026	Triazole + QoI-Strobilurin	60	0.36
SRR23032133	P1	SRR23032133	Control	Vasilchenko et al. 2023	Triazole + QoI-Strobilurin	60	0.36
SRR18767303	P2	SRR18767303	Control	Wang et al., 2030	Thiadiazole	19	7.7
SRR18767304	P2	SRR18767304	Control	Wang et al., 2029	Thiadiazole	19	7.7
SRR18767306	P2	SRR18767306	Control	Wang et al., 2028	Thiadiazole	19	7.7
SRR18767307	P2	SRR18767307	Control	Wang et al., 2027	Thiadiazole	19	7.7
SRR18767308	P2	SRR18767308	Control	Wang et al., 2026	Thiadiazole	19	7.7
SRR18767309	P2	SRR18767309	Control	Wang et al., 2025	Thiadiazole	19	7.7
SRR18767310	P2	SRR18767310	Control	Wang et al., 2024	Thiadiazole	19	7.7
SRR18767311	P2	SRR18767311	Control	Wang et al., 2023	Thiadiazole	19	7.7
SRR18767312	P2	SRR18767312	Treated	Wang et al., 2050	Thiadiazole	19	7.7
SRR18767366	P2	SRR18767366	Control	Wang et al., 2038	Thiadiazole	19	7.7
SRR18767367	P2	SRR18767367	Control	Wang et al., 2037	Thiadiazole	19	7.7
SRR18767369	P2	SRR18767369	Control	Wang et al., 2036	Thiadiazole	19	7.7
SRR18767370	P2	SRR18767370	Control	Wang et al., 2035	Thiadiazole	19	7.7
SRR18767371	P2	SRR18767371	Control	Wang et al., 2034	Thiadiazole	19	7.7
SRR18767372	P2	SRR18767372	Control	Wang et al., 2033	Thiadiazole	19	7.7
SRR18767373	P2	SRR18767373	Control	Wang et al., 2032	Thiadiazole	19	7.7
SRR18767374	P2	SRR18767374	Control	Wang et al., 2031	Thiadiazole	19	7.7
SRR18767375	P2	SRR18767375	Treated	Wang et al., 2054	Thiadiazole	19	7.7
SRR18767376	P2	SRR18767376	Treated	Wang et al., 2046	Thiadiazole	19	7.7
SRR18767377	P2	SRR18767377	Treated	Wang et al., 2053	Thiadiazole	19	7.7
SRR18767378	P2	SRR18767378	Treated	Wang et al., 2045	Thiadiazole	19	7.7
SRR18767381	P2	SRR18767381	Treated	Wang et al., 2052	Thiadiazole	19	7.7
SRR18767382	P2	SRR18767382	Treated	Wang et al., 2044	Thiadiazole	19	7.7
SRR18767383	P2	SRR18767383	Treated	Wang et al., 2051	Thiadiazole	19	7.7
SRR18767384	P2	SRR18767384	Treated	Wang et al., 2043	Thiadiazole	19	7.7
