Project	Run_accession	Treatment	Author	Fungicide_type	Duration	Dose
P3	SRR14242011	Control	Ezazi et al., 2021	Benzimidazole + Dicarboximide	45	2
P3	SRR14242032	Control	Ezazi et al., 2022	Benzimidazole + Dicarboximide	45	2
P3	SRR14242035	Treated	Ezazi et al., 2023	Benzimidazole + Dicarboximide	45	2
P3	SRR14242038	Treated	Ezazi et al., 2024	Benzimidazole + Dicarboximide	45	2
P3	SRR14242039	Treated	Ezazi et al., 2025	Benzimidazole + Dicarboximide	45	2
P3	SRR14242044	Control	Ezazi et al., 2026	Benzimidazole + Dicarboximide	45	2
P3	SRR14244395	Control	Ezazi et al., 2027	Benzimidazole + Dicarboximide	45	2
P3	SRR14244403	Control	Ezazi et al., 2028	Benzimidazole + Dicarboximide	45	2
P3	SRR14244419	Treated	Ezazi et al., 2030	Benzimidazole + Dicarboximide	45	2
P3	SRR14244424	Treated	Ezazi et al., 2032	Benzimidazole + Dicarboximide	45	2
P3	SRR14242010	Control	Ezazi et al., 2033	Benzimidazole + Dicarboximide	45	2
P3	SRR14242012	Control	Ezazi et al., 2034	Benzimidazole + Dicarboximide	45	2
P3	SRR14242014	Control	Ezazi et al., 2035	Benzimidazole + Dicarboximide	45	2
P3	SRR14242021	Control	Ezazi et al., 2036	Benzimidazole + Dicarboximide	45	2
P3	SRR14242042	Treated	Ezazi et al., 2037	Benzimidazole + Dicarboximide	45	2
P3	SRR14242043	Control	Ezazi et al., 2038	Benzimidazole + Dicarboximide	45	2
P3	SRR14244391	Treated	Ezazi et al., 2039	Benzimidazole + Dicarboximide	45	2
P3	SRR14244392	Control	Ezazi et al., 2040	Benzimidazole + Dicarboximide	45	2
P3	SRR14244393	Control	Ezazi et al., 2041	Benzimidazole + Dicarboximide	45	2
P3	SRR14244394	Control	Ezazi et al., 2042	Benzimidazole + Dicarboximide	45	2
P3	SRR14244414	Control	Ezazi et al., 2043	Benzimidazole + Dicarboximide	45	2
P3	SRR14244420	Treated	Ezazi et al., 2044	Benzimidazole + Dicarboximide	45	2
P3	SRR14244421	Treated	Ezazi et al., 2045	Benzimidazole + Dicarboximide	45	2
P3	SRR14244423	Treated	Ezazi et al., 2046	Benzimidazole + Dicarboximide	45	2
P3	SRR14244426	Control	Ezazi et al., 2047	Benzimidazole + Dicarboximide	45	2
P3	SRR14242009	Treated	Ezazi et al., 2048	Benzimidazole + Dicarboximide	45	2
P3	SRR14242013	Control	Ezazi et al., 2049	Benzimidazole + Dicarboximide	45	2
P3	SRR14242036	Treated	Ezazi et al., 2050	Benzimidazole + Dicarboximide	45	2
P3	SRR14242037	Treated	Ezazi et al., 2051	Benzimidazole + Dicarboximide	45	2
P3	SRR14242040	Treated	Ezazi et al., 2052	Benzimidazole + Dicarboximide	45	2
P3	SRR14242041	Treated	Ezazi et al., 2053	Benzimidazole + Dicarboximide	45	2
P3	SRR14244396	Control	Ezazi et al., 2054	Benzimidazole + Dicarboximide	45	2
P3	SRR14244417	Treated	Ezazi et al., 2055	Benzimidazole + Dicarboximide	45	2
P3	SRR14244425	Control	Ezazi et al., 2056	Benzimidazole + Dicarboximide	45	2
